Block level,Datetime,Operation,Received XTZ,Received EUR,From address,Sent XTZ,Sent EUR,Fee XTZ,Fee EUR,To address,Explorer link
2146495,2022-02-24 23:20:04,transaction,1,2.6801271261737454,tz1fepn7jZsCYBqCDhpM63hzh9g2Ytqk4Tpv,,,,,,https://tzkt.io/onp3H6pbuPi9yNu4aVX6iKbRw1Y86aQjRaWR4SVsQuZy6ttyKhm/32527333
2146523,2022-02-24 23:34:04,transaction,0.6,1.6080694938184312,KT1Xo5B7PNBAeynZPmca4bRh6LQow4og1Zb9,,,,,,https://tzkt.io/onru1sSwq56jmrQMqhiNMnjUjYXvSvXZuiQAZi7FKjCR2ZvnhT8/28219958/3
2146523,2022-02-24 23:34:04,transaction,0.022,0.05896254810667581,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/opYGSDM9Mv2DZWo5jD8fRQLiUogHxrxgbNzVTo8WpoVc9v3fAoD/42928482/14
2146525,2022-02-24 23:35:04,transaction,0.022,0.05896254810667581,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/oojb1qnev3nhEaxVWj6a4cxoV2togdNxzRrGtnvopTHyLk3GVcY/42928483/11
2146530,2022-02-24 23:37:34,transaction,0.0125,0.03351380571911395,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/opDUC72aosLUhDFYZr9Br5QJEJ5GJk5sVRk7hs2PkLc2n5gqiAw/35355783/17
2146531,2022-02-24 23:38:04,transaction,0.024,0.06434650698069878,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/opCVyTKHi1ZuqubseoTBxFAPGqw6jFM1mNuNShGnZtLWZqqoDtA/51856793/15
2146534,2022-02-24 23:39:34,transaction,0.55,1.474607451641014,KT1Xo5B7PNBAeynZPmca4bRh6LQow4og1Zb9,,,,,,https://tzkt.io/ooUhDQT4A38sPjESuKh9KYv1adkCjnLsuChFriwt5dvzEbKZE3W/44460462/11
2146534,2022-02-24 23:39:34,transaction,0.125,0.3351380571911395,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/op4cs3ojSa8kZAEVdU9BMkXpaxUA3NBsZLYDQtU14bb3vMeww4x/51856794/14
2146535,2022-02-24 23:40:04,transaction,0.0125,0.03351380571911395,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/ooaF98zxj9ne14J9PemD23PppWGGNjMsEfnD1W61CGyyGoYr9y3/51856795/10
2146535,2022-02-24 23:40:04,transaction,0.022,0.058984298065640546,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/ooQUc24WF1LBAbXZcJbkkpvi8gqAA4TnMHauG4nV7VHBoeVxeR3/42928484/13
