artist_address,tokens,editions,primary_sales,secondary_sales,primary_revenue_xtz,secondary_revenue_xtz,address
tz1h4wE8yjKohJn6PmAJVnf2r3MLXrLTESw1,311.0,894388.0,627.0,43.0,1300.7339999999972,693.2388,tz1h4wE8yjKohJn6PmAJVnf2r3MLXrLTESw1
tz1SCNtfLp4GRC2beH5yYf3VTVPvrSSTq4hf,55.0,505000.0,24.0,0.0,24.0,0.0,tz1SCNtfLp4GRC2beH5yYf3VTVPvrSSTq4hf
tz1TvkiwELDX5YJpgENP6sW1xeE5L42LtYMA,72.0,355004.0,30.0,0.0,34.0,0.0,tz1TvkiwELDX5YJpgENP6sW1xeE5L42LtYMA
tz1YtK9qUJffq2SqjhaJEGbufVHEBWDLPrSV,26.0,260000.0,610.0,1.0,6.099999999999914,0.5,tz1YtK9qUJffq2SqjhaJEGbufVHEBWDLPrSV
tz1cjinRT77yWj3iiyU1fZ1Qv4wVjQ5Q4wDX,53.0,217538.0,220.0,9.0,18.92600000000009,7.299999999999999,tz1cjinRT77yWj3iiyU1fZ1Qv4wVjQ5Q4wDX
tz1Q2tWtJh7wxGmnt6zRvRd2UUKXfNg1eAa8,124.0,191400.0,440.0,0.0,77.21000000000005,0.0,tz1Q2tWtJh7wxGmnt6zRvRd2UUKXfNg1eAa8
tz1TSWEDs9wcBx2KiRzVzyzECsNpRiZaLJ1D,331.0,166217.0,7286.0,1356.0,57157.286668000175,59761.333708000115,tz1TSWEDs9wcBx2KiRzVzyzECsNpRiZaLJ1D
tz1RnCGSjMafWbx6WioVAyw8wxSDTz7parWU,511.0,161484.0,42.0,239.0,68.0,36611.390000000014,tz1RnCGSjMafWbx6WioVAyw8wxSDTz7parWU
tz1NJRzdKqBkQ7UD5qJbYE678kfF2JSX71nn,39.0,160560.0,5.0,0.0,3.1999999999999993,0.0,tz1NJRzdKqBkQ7UD5qJbYE678kfF2JSX71nn
tz1g2GwT847FaNm6LDVnQkzNdhMweypLiZhA,142.0,158699.0,762.0,48.0,1047.665999999999,181.85999999999999,tz1g2GwT847FaNm6LDVnQkzNdhMweypLiZhA
tz1fNeJE8UhZBDccynFt9n2ueBPmySb48W8W,18.0,150401.0,6.0,0.0,102.48264000000002,0.0,tz1fNeJE8UhZBDccynFt9n2ueBPmySb48W8W
tz1VFiSAW6nqZQbDh2x7mnLUcmfQbRPPQLVb,15.0,150000.0,65.0,1.0,65.0,1.0,tz1VFiSAW6nqZQbDh2x7mnLUcmfQbRPPQLVb
tz2DCnSEGSvNpPto8XMYPfATZCjUEYwSjf3u,24.0,124093.0,1563.0,33.0,1967.591400000023,474.304,tz2DCnSEGSvNpPto8XMYPfATZCjUEYwSjf3u
tz1U6Cnn4cevAYfESMkbhN98xuM8sBuKdhbF,12.0,120000.0,0.0,0.0,0.0,0.0,tz1U6Cnn4cevAYfESMkbhN98xuM8sBuKdhbF
tz1dj1HVZv2yrgJTwj9zhLN9hTQvyFAXSsuK,12.0,120000.0,3.0,0.0,3.0,0.0,tz1dj1HVZv2yrgJTwj9zhLN9hTQvyFAXSsuK
tz1LWc9d2ionFQRunxWt867ivRR4ab9QeLEz,519.0,113656.0,501.0,25.0,68.63399999999997,54.879999999999995,tz1LWc9d2ionFQRunxWt867ivRR4ab9QeLEz
tz1SvBsLR6KEFvg4AJT42Xe6M39SUxT1sf53,24.0,100818.0,9.0,0.0,31.0,0.0,tz1SvBsLR6KEFvg4AJT42Xe6M39SUxT1sf53
tz1iVEf4gkwmqsvnzuvvLQMzwH4ZPPr5149x,10.0,100000.0,3.0,0.0,3.0,0.0,tz1iVEf4gkwmqsvnzuvvLQMzwH4ZPPr5149x
tz1fyVDQLYe5zCgBgcPH7hqUvhsnJyFXwb58,39.0,92054.0,110.0,1.0,17.969999999999995,0.0,tz1fyVDQLYe5zCgBgcPH7hqUvhsnJyFXwb58
tz1V93gKs2XKqqeh5jVjok9ttNxgVAmqvoJn,19.0,91036.0,1.0,0.0,0.9999,0.0,tz1V93gKs2XKqqeh5jVjok9ttNxgVAmqvoJn
tz1bHDCxUPDzhraoRGaKTkbbbt2aStwsCtC1,10.0,90999.0,27.0,43.0,0.03,0.8900000000000002,tz1bHDCxUPDzhraoRGaKTkbbbt2aStwsCtC1
tz1ShF4UJoaRYEqk5wjtRczC43rUE6PPsSdD,38.0,90773.0,359.0,28.0,404.69999999999965,74.92000000000002,tz1ShF4UJoaRYEqk5wjtRczC43rUE6PPsSdD
tz1LgdNFa7Jjfg5qAsWTDmDKdaxZZG9XaykC,17.0,90364.0,44.0,0.0,14.24999999999999,0.0,tz1LgdNFa7Jjfg5qAsWTDmDKdaxZZG9XaykC
