year_month_day,trade_count,trade_revenue_xtz,primary_revenue_xtz,secondary_revenue_xtz,unique_sellers,unique_collectors
2021-03-01,68.0,498.50003,498.50003,0.0,12.0,22.0
2021-03-02,65.0,1186.0,1186.0,0.0,16.0,21.0
2021-03-03,173.0,2318.234817000001,2318.234817000001,0.0,24.0,92.0
2021-03-04,385.0,1271.0805099999995,1271.0805099999995,0.0,49.0,167.0
2021-03-05,378.0,2958.712417,2958.712417,0.0,65.0,125.0
2021-03-06,490.0,2254.4208080000008,2254.4208080000008,0.0,98.0,140.0
2021-03-07,541.0,2317.2147389999996,2317.2147389999996,0.0,108.0,187.0
2021-03-08,1167.0,2759.5225960000002,2759.5225960000002,0.0,157.0,256.0
2021-03-09,996.0,3725.155478999999,3725.155478999999,0.0,189.0,263.0
2021-03-10,554.0,3291.8201940000017,3291.8201940000017,0.0,144.0,213.0
2021-03-11,625.0,3193.191066999999,3193.191066999999,0.0,136.0,194.0
2021-03-12,553.0,3651.274694,3651.274694,0.0,137.0,233.0
2021-03-13,601.0,2642.4010350000003,2642.4010350000003,0.0,179.0,168.0
2021-03-14,576.0,3895.927694999995,3895.927694999995,0.0,154.0,156.0
2021-03-15,35.0,2148.0,2148.0,0.0,22.0,21.0
2021-03-16,826.0,9150.284413000003,9150.284413000003,0.0,192.0,195.0
2021-03-17,873.0,6107.009253999997,6107.009253999997,0.0,171.0,264.0
2021-03-18,1241.0,7201.329144000001,7201.329144000001,0.0,212.0,325.0
2021-03-19,1116.0,5321.822000000001,5321.822000000001,0.0,244.0,262.0
2021-03-20,980.0,4372.340719999998,4372.340719999998,0.0,230.0,244.0
2021-03-21,1360.0,7875.572600000001,7875.572600000001,0.0,267.0,307.0
2021-03-22,1694.0,7907.932100000005,7907.932100000005,0.0,291.0,430.0
2021-03-23,1419.0,10766.72005500002,10766.72005500002,0.0,269.0,370.0
2021-03-24,1229.0,10472.018444999992,10472.018444999992,0.0,286.0,336.0
2021-03-25,1319.0,5100.446089000001,5100.446089000001,0.0,312.0,368.0
